Key,id,en
ach.allplaces.desc,"Kunjungi semua 7 pulau di Nusantara","Visit all 7 islands of the Archipelago"
ach.allplaces.name,"Penjelajah Nusantara","Archipelago Explorer"
ach.allzonesjawa.desc,"Kunjungi semua zona di Jawa","Visit all zones in Java"
ach.allzonesjawa.name,"Jelajah Jawa","Java Explorer"
ach.defeat100.desc,"Kalahkan 100 musuh dalam pertarungan","Defeat 100 enemies in combat"
ach.defeat100.name,"Pejuang Sejati","True Warrior"
ach.firstmarriage.desc,"Jalin hubungan pernikahan pertama","Form your first marriage bond"
ach.firstmarriage.name,"Janji Setia","Faithful Vow"
ach.pahlawan.desc,"Capai tingkat moralitas Pahlawan","Reach the Hero morality tier"
ach.pahlawan.name,"Sang Pahlawan","The Hero"
ach.penjahat.desc,"Capai tingkat moralitas Penjahat","Reach the Villain morality tier"
ach.penjahat.name,"Si Penjahat","The Villain"
event.kemerdekaan.currency,"Koin Merah","Red Coin"
event.kemerdekaan.name,"Perayaan Kemerdekaan","Independence Celebration"
event.lebaran.currency,"Koin Lebaran","Eid Coin"
event.lebaran.name,"Festival Lebaran","Eid al-Fitr Festival"
event.natal.currency,"Koin Natal","Christmas Coin"
event.natal.name,"Festival Natal","Christmas Festival"
event.world.distress.name,"NPC Dalam Bahaya","NPC in Distress"
event.world.ingredient.name,"Bahan Langka Muncul","Rare Ingredient Appeared"
event.world.merchant.name,"Pedagang Diserang","Merchant Under Attack"
event.world.poacher.name,"Pemburu Liar","Poacher Camp"
item.beras.desc,"Beras putih berkualitas baik","High-quality white rice"
item.beras.name,"Beras","Rice"
item.cincin.desc,"Cincin emas untuk melamar","Gold ring for a marriage proposal"
item.cincin.name,"Cincin","Ring"
item.cosmetic.bad.desc,"Pakaian khas Penjahat","Villain's signature outfit"
item.cosmetic.bad.name,"Kostum Penjahat","Villain Costume"
item.cosmetic.good.desc,"Pakaian khas Pahlawan","Hero's signature outfit"
item.cosmetic.good.name,"Kostum Pahlawan","Hero Costume"
item.daunpisang.desc,"Daun pisang segar untuk membungkus makanan","Fresh banana leaf for wrapping food"
item.daunpisang.name,"Daun Pisang","Banana Leaf"
item.esteh.desc,"Segelas es teh manis yang menyegarkan","A refreshing glass of sweet iced tea"
item.esteh.name,"Es Teh","Iced Tea"
item.golok.name,"Golok","Golok"
item.kayu.desc,"Sepotong kayu mentah dari hutan","A piece of raw wood from the forest"
item.kayu.name,"Kayu","Wood"
item.kayubalok.desc,"Kayu yang sudah dihaluskan dan dibentuk","Smoothed and shaped timber"
item.kayubalok.name,"Kayu Balok","Timber"
item.keris.name,"Keris","Kris Dagger"
item.ketapel.name,"Ketapel","Slingshot"
item.mandau.name,"Mandau","Mandau"
item.nasibungkus.desc,"Nasi bungkus dengan lauk pauk sederhana","Wrapped rice with simple side dishes"
item.nasibungkus.name,"Nasi Bungkus","Wrapped Rice"
item.pencaksilat.name,"Senjata Pencak Silat","Pencak Silat Weapon"
item.rotibasah.desc,"Roti basah yang lembut dan manis","Soft and sweet wet cake"
item.rotibasah.name,"Roti Basah","Wet Cake"
item.sumpit.name,"Sumpit","Blowpipe"
item.surat.desc,"Sepucuk surat penting","An important letter"
item.surat.name,"Surat","Letter"
item.title.penjelajah.desc,"Gelar kehormatan bagi yang telah menjelajahi seluruh Nusantara","Honorary title for those who have explored the entire Archipelago"
item.title.penjelajah.name,"Penjelajah Nusantara","Archipelago Explorer"
item.tongkat.name,"Tongkat","Staff"
morality.baikhati,"Baik Hati","Kind-hearted"
morality.biasa,"Biasa","Neutral"
morality.nakal,"Nakal","Mischievous"
morality.pahlawan,"Pahlawan","Hero"
morality.penjahat,"Penjahat","Villain"
npc.mboksari.name,"Mbok Sari","Mbok Sari"
npc.pakrt.name,"Pak RT","Pak RT"
npc.paktoha.name,"Pak Toha","Pak Toha"
npc.parmin.name,"Parmin","Parmin"
place.jawa,"Jawa","Java"
place.kalimantan,"Kalimantan","Kalimantan"
place.maluku,"Maluku","Maluku"
place.nusatenggara,"Nusa Tenggara","Nusa Tenggara"
place.papua,"Papua","Papua"
place.sulawesi,"Sulawesi","Sulawesi"
place.sumatera,"Sumatera","Sumatra"
quest.main.ch1.desc,"Kenali lingkungan sekitar dan bantu warga kampung","Get to know your surroundings and help the villagers"
quest.main.ch1.title,"Awal Perjalanan","The Beginning"
quest.main.ch1b.desc,"Telusuri kota dan temukan potensi yang ada","Explore the city and discover its potential"
quest.main.ch1b.title,"Menjelajahi Kota","Exploring the City"
quest.side.carikayu01.desc,"Kumpulkan kayu untuk Pak Toha yang sedang membangun rumah","Gather wood for Pak Toha who is building a house"
quest.side.carikayu01.title,"Cari Kayu","Find Wood"
rel.menikah,"Menikah","Married"
rel.musuh,"Musuh","Enemy"
rel.rival,"Rival","Rival"
rel.sahabat,"Sahabat","Friend"
rel.saudara,"Saudara","Sibling"
shop.warungparmin.name,"Warung Parmin","Parmin's Stall"
task.collect.desc,"Kumpulkan [target] item","Collect [target] items"
task.collect.title,"Kolektor Harian","Daily Collector"
task.combat.desc,"Kalahkan [target] musuh","Defeat [target] enemies"
task.combat.title,"Misi Tempur","Combat Mission"
task.craft.desc,"Buat [target] item di bengkel","Craft [target] items at a workshop"
task.craft.title,"Pengrajin Harian","Daily Craftsman"
task.explore.desc,"Kunjungi [target] zona baru","Visit [target] new zones"
task.explore.title,"Penjelajah Harian","Daily Explorer"
task.gather.kayu.desc,"Kumpulkan 5 kayu di hutan sekitar","Gather 5 wood in the nearby forest"
task.gather.kayu.title,"Ambil Kayu","Gather Wood"
task.sell.desc,"Jual [target] item ke pedagang","Sell [target] items to a merchant"
task.sell.title,"Pedagang Harian","Daily Trader"
task.sidequest.desc,"Selesaikan [target] misi sampingan","Complete [target] side quests"
task.sidequest.title,"Misi Sampingan","Side Quest Missions"
task.talk.desc,"Bicara dengan [target] NPC","Talk to [target] NPCs"
task.talk.title,"Perbincangan Harian","Daily Conversation"
task.weekly.combat.desc,"Kalahkan 50 musuh minggu ini","Defeat 50 enemies this week"
task.weekly.combat.title,"Pejuang Mingguan","Weekly Warrior"
task.weekly.craft.desc,"Buat 10 item minggu ini","Craft 10 items this week"
task.weekly.craft.title,"Pengrajin Mingguan","Weekly Craftsman"
zone.ambon,"Ambon","Ambon"
zone.bandaaceh,"Banda Aceh","Banda Aceh"
zone.bandarlampung,"Bandar Lampung","Bandar Lampung"
zone.bandung,"Bandung","Bandung"
zone.banjarmasin,"Banjarmasin","Banjarmasin"
zone.bengkulu,"Bengkulu","Bengkulu"
zone.denpasar,"Denpasar","Denpasar"
zone.gorontalo,"Gorontalo","Gorontalo"
zone.jakarta,"Jakarta","Jakarta"
zone.jambi,"Jambi","Jambi"
zone.jayapura,"Jayapura","Jayapura"
zone.kendari,"Kendari","Kendari"
zone.kotajogja,"Kota Yogyakarta","Yogyakarta City"
zone.kupang,"Kupang","Kupang"
zone.makassar,"Makassar","Makassar"
zone.mamuju,"Mamuju","Mamuju"
zone.manado,"Manado","Manado"
zone.manokwari,"Manokwari","Manokwari"
zone.mataram,"Mataram","Mataram"
zone.medan,"Medan","Medan"
zone.merauke,"Merauke","Merauke"
zone.padang,"Padang","Padang"
zone.palangkaraya,"Palangka Raya","Palangka Raya"
zone.palembang,"Palembang","Palembang"
zone.palu,"Palu","Palu"
zone.pangkalpinang,"Pangkal Pinang","Pangkal Pinang"
zone.pekanbaru,"Pekanbaru","Pekanbaru"
zone.pontianak,"Pontianak","Pontianak"
zone.samarinda,"Samarinda","Samarinda"
zone.semarang,"Semarang","Semarang"
zone.serang,"Serang","Serang"
zone.sorong,"Sorong","Sorong"
zone.suroboyo,"Surabaya","Surabaya"
zone.tanahtoraja,"Tana Toraja","Tana Toraja"
zone.tanjungpinang,"Tanjungpinang","Tanjungpinang"
zone.tanjungselor,"Tanjung Selor","Tanjung Selor"
zone.ternate,"Ternate","Ternate"
ui.hud.stamina,"Stamina","Stamina"
ui.hud.quest,"Misi Aktif","Active Quest"
ui.hud.currency.rupiah,"Rupiah","Rupiah"
ui.hud.currency.gold,"Emas","Gold"
ui.inventory.title,"Inventaris","Inventory"
ui.inventory.filter.all,"Semua","All"
ui.inventory.filter.food,"Makanan","Food"
ui.inventory.filter.cosmetic,"Kosmetik","Cosmetic"
ui.inventory.filter.collectible,"Koleksi","Collectible"
ui.inventory.filter.weapon,"Senjata","Weapon"
ui.inventory.filter.material,"Bahan","Material"
ui.shop.title,"Toko","Shop"
ui.shop.tab.buy,"Beli","Buy"
ui.shop.tab.sell,"Jual","Sell"
ui.shop.confirm.buy,"Beli %s seharga %s?","Buy %s for %s?"
ui.shop.confirm.sell,"Jual %s seharga %s?","Sell %s for %s?"
ui.dialog.accept,"Terima","Accept"
ui.dialog.decline,"Tolak","Decline"
ui.dialog.skip,"Lewati","Skip"
ui.quest.title,"Daftar Misi","Quest Log"
ui.quest.section.active,"Aktif","Active"
ui.quest.section.done,"Selesai","Completed"
ui.task.title,"Tugas Harian","Daily Tasks"
ui.task.tab.daily,"Harian","Daily"
ui.task.tab.weekly,"Mingguan","Weekly"
ui.task.claim,"Klaim","Claim"
ui.task.reroll,"Ganti","Reroll"
ui.task.claimed,"Selesai","Claimed"
